               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075915,            0.024631,            0.015836,             0.60749,             0.51499,               0.393,              0.1287,            0.048265,           0.0094049,           0.0062383,           0.0033028,           0.0033028,            0.070275
                   1,            0.054568,            0.015247,           0.0087546,             0.66034,             0.59111,             0.67451,             0.21651,            0.043664,           0.0056833,           0.0036202,           0.0065704,           0.0065704,             0.04021
                   2,            0.051836,            0.013136,            0.005905,             0.68865,             0.67288,             0.75651,             0.30272,            0.039621,           0.0060299,           0.0039856,            0.009772,            0.009772,            0.010078
                   3,            0.044201,             0.01214,           0.0053686,             0.68612,             0.60281,             0.67055,             0.24139,            0.032421,            0.006208,           0.0034259,            0.009703,            0.009703,            0.009703
                   4,            0.040402,            0.011679,           0.0046384,             0.73445,             0.58877,              0.6623,             0.32805,            0.033908,           0.0055805,           0.0059794,            0.009703,            0.009703,            0.009703
                   5,            0.037335,            0.011483,           0.0041443,             0.86912,             0.71962,             0.82533,             0.43363,            0.028599,           0.0052945,           0.0062582,            0.009604,            0.009604,            0.009604
                   6,             0.03468,            0.010848,           0.0039004,             0.85693,             0.79775,             0.85835,             0.47378,            0.026487,           0.0048543,           0.0033175,            0.009505,            0.009505,            0.009505
                   7,            0.034329,            0.010868,           0.0035292,             0.84225,              0.7582,             0.85241,             0.50651,            0.023884,           0.0047589,            0.003283,            0.009406,            0.009406,            0.009406
                   8,             0.03221,             0.01024,           0.0028225,             0.87916,             0.86668,             0.92318,             0.51319,             0.02705,           0.0044289,           0.0020359,            0.009307,            0.009307,            0.009307
                   9,            0.031834,            0.010415,           0.0029982,             0.89479,             0.80086,              0.9084,             0.51033,            0.026311,           0.0044019,           0.0027985,            0.009208,            0.009208,            0.009208
                  10,             0.03079,            0.010289,           0.0026987,             0.89195,              0.8472,             0.92779,             0.53018,            0.023376,           0.0045823,           0.0022396,            0.009109,            0.009109,            0.009109
                  11,            0.030086,            0.010029,           0.0024518,             0.90618,             0.83724,             0.92387,             0.52177,            0.024945,           0.0046055,           0.0017509,             0.00901,             0.00901,             0.00901
                  12,            0.029867,           0.0097695,           0.0021269,              0.9339,             0.79069,             0.91806,             0.57179,            0.022618,           0.0043429,            0.001892,            0.008911,            0.008911,            0.008911
                  13,            0.029486,           0.0096458,            0.001981,             0.91457,             0.91122,             0.95567,             0.57123,            0.023585,           0.0042694,           0.0017413,            0.008812,            0.008812,            0.008812
                  14,            0.028988,           0.0096394,           0.0020208,             0.90861,             0.89197,             0.94177,             0.57744,            0.022611,           0.0041493,           0.0019178,            0.008713,            0.008713,            0.008713
                  15,            0.028798,           0.0097076,           0.0021913,             0.90441,             0.87471,             0.94829,              0.5714,            0.022518,           0.0041191,           0.0021531,            0.008614,            0.008614,            0.008614
                  16,            0.028219,           0.0094364,           0.0016821,             0.88725,             0.85613,             0.91053,             0.49976,            0.023573,           0.0044235,           0.0023725,            0.008515,            0.008515,            0.008515
                  17,             0.02743,           0.0093709,           0.0017312,             0.90505,             0.88295,             0.95252,             0.58433,            0.021737,           0.0041717,           0.0016199,            0.008416,            0.008416,            0.008416
                  18,            0.027573,           0.0093531,           0.0016725,             0.94512,             0.84243,             0.93669,             0.57538,            0.022353,           0.0042097,           0.0018399,            0.008317,            0.008317,            0.008317
                  19,            0.026988,           0.0092993,           0.0016607,             0.96056,             0.89016,             0.96384,             0.53709,             0.02411,           0.0043053,           0.0012553,            0.008218,            0.008218,            0.008218
                  20,             0.02708,           0.0093747,           0.0014579,             0.97337,             0.84697,             0.95113,             0.59616,            0.021957,           0.0040953,           0.0015707,            0.008119,            0.008119,            0.008119
                  21,            0.026687,           0.0089904,           0.0013936,             0.91388,             0.87647,             0.93841,              0.5748,            0.022686,           0.0041555,           0.0017623,             0.00802,             0.00802,             0.00802
                  22,            0.026405,           0.0090392,           0.0014733,              0.9628,             0.89371,             0.95746,             0.60188,            0.021515,           0.0040604,           0.0014621,            0.007921,            0.007921,            0.007921
                  23,            0.026511,           0.0092178,           0.0015636,             0.91451,             0.94053,             0.95972,             0.63272,            0.021418,           0.0039683,           0.0015304,            0.007822,            0.007822,            0.007822
                  24,             0.02585,           0.0089413,           0.0014705,             0.92686,             0.92674,             0.95693,               0.605,            0.021059,           0.0039657,           0.0014036,            0.007723,            0.007723,            0.007723
                  25,            0.025906,           0.0087646,           0.0015594,              0.9315,             0.90321,             0.94529,             0.61427,            0.021141,            0.004033,           0.0020366,            0.007624,            0.007624,            0.007624
                  26,            0.025292,           0.0088105,           0.0013719,             0.89369,             0.90506,              0.9279,             0.58918,            0.021176,           0.0041303,           0.0015646,            0.007525,            0.007525,            0.007525
                  27,            0.025531,           0.0087434,             0.00121,             0.88604,               0.869,             0.91777,             0.58842,            0.021993,           0.0042114,           0.0017779,            0.007426,            0.007426,            0.007426
                  28,            0.025174,           0.0085954,           0.0012629,             0.93122,             0.89695,             0.95292,             0.62073,            0.020868,           0.0039048,           0.0015064,            0.007327,            0.007327,            0.007327
                  29,            0.025318,           0.0086302,           0.0010981,             0.91398,             0.87169,             0.94129,              0.6067,            0.022128,           0.0040629,           0.0034727,            0.007228,            0.007228,            0.007228
                  30,            0.024952,           0.0087851,           0.0014147,             0.96048,             0.93577,             0.97488,             0.59265,            0.021656,           0.0040676,           0.0014651,            0.007129,            0.007129,            0.007129
                  31,            0.024625,           0.0084429,            0.001419,              0.9457,             0.91336,              0.9694,             0.62117,            0.021326,           0.0039597,           0.0014016,             0.00703,             0.00703,             0.00703
                  32,            0.024312,           0.0084722,           0.0011254,             0.94694,             0.91081,             0.96114,             0.60845,            0.020932,           0.0040144,           0.0016626,            0.006931,            0.006931,            0.006931
                  33,            0.024383,           0.0084137,           0.0011372,             0.96144,              0.9071,             0.97219,             0.61523,            0.021291,           0.0039798,           0.0015807,            0.006832,            0.006832,            0.006832
                  34,            0.024342,           0.0082643,          0.00090851,             0.92231,             0.86556,             0.93756,             0.59441,            0.021238,            0.003892,            0.001826,            0.006733,            0.006733,            0.006733
                  35,            0.023966,           0.0084976,          0.00082258,             0.94568,             0.90823,              0.9582,             0.61752,            0.021282,           0.0039015,           0.0014012,            0.006634,            0.006634,            0.006634
                  36,            0.023891,           0.0083199,          0.00067373,             0.92212,             0.92576,             0.96706,             0.62417,            0.021359,           0.0039186,           0.0016139,            0.006535,            0.006535,            0.006535
                  37,            0.023997,           0.0081762,          0.00086938,             0.97091,              0.9176,              0.9657,             0.62661,            0.020586,            0.004017,           0.0016765,            0.006436,            0.006436,            0.006436
                  38,            0.023513,           0.0084369,           0.0007568,                0.91,              0.9111,             0.95813,             0.62872,            0.021397,           0.0039193,           0.0020447,            0.006337,            0.006337,            0.006337
                  39,            0.023598,           0.0082872,           0.0008355,             0.92018,             0.94932,             0.95616,             0.62961,            0.020708,           0.0038473,           0.0020179,            0.006238,            0.006238,            0.006238
                  40,            0.022886,           0.0082143,          0.00073713,             0.92894,             0.89355,             0.95202,             0.63548,            0.020218,           0.0038764,           0.0015647,            0.006139,            0.006139,            0.006139
                  41,            0.022814,           0.0082319,           0.0009183,             0.93351,             0.88189,             0.96521,             0.63527,            0.020466,           0.0038699,           0.0022233,             0.00604,             0.00604,             0.00604
                  42,            0.022692,           0.0081467,          0.00063546,             0.93484,             0.90857,             0.96709,               0.616,            0.020384,           0.0039855,            0.001628,            0.005941,            0.005941,            0.005941
                  43,            0.022924,           0.0080026,          0.00068798,             0.93154,              0.9254,             0.96176,             0.63937,            0.020497,           0.0038048,           0.0013758,            0.005842,            0.005842,            0.005842
                  44,            0.023025,           0.0080581,          0.00072571,             0.91524,             0.90188,             0.96322,             0.62727,            0.020462,           0.0039245,           0.0021169,            0.005743,            0.005743,            0.005743
                  45,            0.022611,           0.0080695,          0.00077532,             0.93724,             0.91557,             0.96112,             0.63771,            0.021321,           0.0039308,            0.001545,            0.005644,            0.005644,            0.005644
                  46,            0.022759,           0.0079465,          0.00065474,             0.92096,             0.87287,             0.95507,             0.60854,            0.020535,           0.0038856,           0.0023191,            0.005545,            0.005545,            0.005545
                  47,            0.022613,           0.0079768,          0.00061018,             0.94841,             0.90606,              0.9642,             0.62498,            0.020559,           0.0039428,           0.0014751,            0.005446,            0.005446,            0.005446
                  48,            0.022459,           0.0079988,          0.00075915,             0.91304,             0.90627,             0.95476,             0.61509,            0.020214,           0.0039835,            0.002391,            0.005347,            0.005347,            0.005347
                  49,            0.021903,           0.0079877,           0.0008185,             0.96037,             0.88333,             0.96809,             0.63633,            0.020556,           0.0038301,           0.0018733,            0.005248,            0.005248,            0.005248
                  50,            0.022068,           0.0079141,          0.00064456,             0.91944,             0.89765,             0.95553,             0.62228,            0.020544,           0.0039203,           0.0017063,            0.005149,            0.005149,            0.005149
                  51,             0.02218,           0.0077964,          0.00070572,             0.93636,             0.91563,              0.9631,             0.61753,            0.020805,           0.0038851,           0.0015447,             0.00505,             0.00505,             0.00505
                  52,            0.022153,           0.0078238,          0.00069413,             0.96091,             0.91081,             0.95998,             0.64822,            0.019887,           0.0038239,           0.0016259,            0.004951,            0.004951,            0.004951
                  53,            0.021923,           0.0078134,          0.00060472,             0.94925,             0.85959,             0.96021,             0.62907,            0.020672,           0.0038477,           0.0020567,            0.004852,            0.004852,            0.004852
                  54,            0.021477,           0.0076292,          0.00060042,             0.95337,             0.89143,              0.9604,             0.65357,            0.020341,           0.0039221,           0.0015994,            0.004753,            0.004753,            0.004753
